C:\Data\IMG\center_2025_03_17_15_08_20_816.jpg, C:\Data\IMG\left_2025_03_17_15_08_20_816.jpg, C:\Data\IMG\right_2025_03_17_15_08_20_816.jpg, 0, 0, 0, 8.174028E-05
C:\Data\IMG\center_2025_03_17_15_08_20_917.jpg, C:\Data\IMG\left_2025_03_17_15_08_20_917.jpg, C:\Data\IMG\right_2025_03_17_15_08_20_917.jpg, 0, 0, 0, 8.172537E-05
C:\Data\IMG\center_2025_03_17_15_08_21_020.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_020.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_020.jpg, 0, 0, 0, 8.15426E-05
C:\Data\IMG\center_2025_03_17_15_08_21_122.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_122.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_122.jpg, 0, 0, 0, 8.135079E-05
C:\Data\IMG\center_2025_03_17_15_08_21_224.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_224.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_224.jpg, 0, 0, 0, 8.149938E-05
C:\Data\IMG\center_2025_03_17_15_08_21_327.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_327.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_327.jpg, 0, 0, 0, 8.14884E-05
C:\Data\IMG\center_2025_03_17_15_08_21_433.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_433.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_433.jpg, 0, 0, 0, 8.159011E-05
C:\Data\IMG\center_2025_03_17_15_08_21_540.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_540.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_540.jpg, 0, 0, 0, 8.241808E-05
C:\Data\IMG\center_2025_03_17_15_08_21_641.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_641.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_641.jpg, 0, 0, 0, 8.203895E-05
C:\Data\IMG\center_2025_03_17_15_08_21_743.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_743.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_743.jpg, 0, 0, 0, 8.199153E-05
C:\Data\IMG\center_2025_03_17_15_08_21_847.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_847.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_847.jpg, 0, 0, 0, 8.244795E-05
C:\Data\IMG\center_2025_03_17_15_08_21_948.jpg, C:\Data\IMG\left_2025_03_17_15_08_21_948.jpg, C:\Data\IMG\right_2025_03_17_15_08_21_948.jpg, 0, 0, 0, 8.344714E-05
C:\Data\IMG\center_2025_03_17_15_08_22_050.jpg, C:\Data\IMG\left_2025_03_17_15_08_22_050.jpg, C:\Data\IMG\right_2025_03_17_15_08_22_050.jpg, 0, 0, 0, 8.197238E-05
